GEO_ID,NAME,DP04_0001E,DP04_0001PE,DP04_0002E,DP04_0002PE,DP04_0057E,DP04_0057PE,DP04_0058E,DP04_0058PE
id,Geographic Area Name,Estimate!!HOUSING OCCUPANCY!!Total housing units,Percent!!HOUSING OCCUPANCY!!Total housing units,Estimate!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,Percent!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,Estimate!!VEHICLES AVAILABLE!!Occupied housing units,Percent!!VEHICLES AVAILABLE!!Occupied housing units,Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available,Percent!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available
1400000US06087100100,"Census Tract 1001, Santa Cruz County, California",830,830,818,98.6,818,818,13,1.6
1400000US06087100200,"Census Tract 1002, Santa Cruz County, California",2852,2852,2704,94.8,2704,2704,168,6.2
1400000US06087100300,"Census Tract 1003, Santa Cruz County, California",1358,1358,1259,92.7,1259,1259,87,6.9
1400000US06087100400,"Census Tract 1004, Santa Cruz County, California",484,484,421,87,421,421,39,9.3
1400000US06087100500,"Census Tract 1005, Santa Cruz County, California",2386,2386,2329,97.6,2329,2329,55,2.4
1400000US06087100600,"Census Tract 1006, Santa Cruz County, California",1377,1377,1275,92.6,1275,1275,22,1.7
1400000US06087100700,"Census Tract 1007, Santa Cruz County, California",1159,1159,1065,91.9,1065,1065,229,21.5
1400000US06087100800,"Census Tract 1008, Santa Cruz County, California",3354,3354,3196,95.3,3196,3196,208,6.5
1400000US06087100900,"Census Tract 1009, Santa Cruz County, California",2431,2431,1903,78.3,1903,1903,133,7
1400000US06087101000,"Census Tract 1010, Santa Cruz County, California",3975,3975,3659,92.1,3659,3659,521,14.2
1400000US06087101100,"Census Tract 1011, Santa Cruz County, California",2501,2501,2330,93.2,2330,2330,179,7.7
1400000US06087101200,"Census Tract 1012, Santa Cruz County, California",1407,1407,1187,84.4,1187,1187,25,2.1
1400000US06087110100,"Census Tract 1101, Santa Cruz County, California",2649,2649,2509,94.7,2509,2509,206,8.2
1400000US06087110200,"Census Tract 1102, Santa Cruz County, California",2373,2373,2171,91.5,2171,2171,138,6.4
1400000US06087110300,"Census Tract 1103, Santa Cruz County, California",1933,1933,1846,95.5,1846,1846,266,14.4
1400000US06087110400,"Census Tract 1104, Santa Cruz County, California",2175,2175,2054,94.4,2054,2054,63,3.1
1400000US06087110501,"Census Tract 1105.01, Santa Cruz County, California",2314,2314,2314,100,2314,2314,85,3.7
1400000US06087110502,"Census Tract 1105.02, Santa Cruz County, California",1600,1600,1600,100,1600,1600,90,5.6
1400000US06087110600,"Census Tract 1106, Santa Cruz County, California",2375,2375,2375,100,2375,2375,222,9.3
1400000US06087110700,"Census Tract 1107, Santa Cruz County, California",918,918,901,98.1,901,901,44,4.9
1400000US06087120200,"Census Tract 1202, Santa Cruz County, California",1888,1888,1628,86.2,1628,1628,90,5.5
1400000US06087120301,"Census Tract 1203.01, Santa Cruz County, California",2280,2280,1983,87,1983,1983,0,0
1400000US06087120302,"Census Tract 1203.02, Santa Cruz County, California",1143,1143,1060,92.7,1060,1060,12,1.1
1400000US06087120400,"Census Tract 1204, Santa Cruz County, California",2432,2432,2048,84.2,2048,2048,95,4.6
1400000US06087120500,"Census Tract 1205, Santa Cruz County, California",2761,2761,2435,88.2,2435,2435,57,2.3
1400000US06087120600,"Census Tract 1206, Santa Cruz County, California",2022,2022,1835,90.8,1835,1835,34,1.9
1400000US06087120700,"Census Tract 1207, Santa Cruz County, California",2047,2047,1589,77.6,1589,1589,30,1.9
1400000US06087120800,"Census Tract 1208, Santa Cruz County, California",2504,2504,2290,91.5,2290,2290,213,9.3
1400000US06087120900,"Census Tract 1209, Santa Cruz County, California",3460,3460,3124,90.3,3124,3124,65,2.1
1400000US06087121000,"Census Tract 1210, Santa Cruz County, California",1482,1482,1372,92.6,1372,1372,28,2
1400000US06087121100,"Census Tract 1211, Santa Cruz County, California",1259,1259,1197,95.1,1197,1197,50,4.2
1400000US06087121200,"Census Tract 1212, Santa Cruz County, California",2525,2525,2290,90.7,2290,2290,16,0.7
1400000US06087121300,"Census Tract 1213, Santa Cruz County, California",1745,1745,1706,97.8,1706,1706,182,10.7
1400000US06087121401,"Census Tract 1214.01, Santa Cruz County, California",1005,1005,966,96.1,966,966,49,5.1
1400000US06087121402,"Census Tract 1214.02, Santa Cruz County, California",1618,1618,1504,93,1504,1504,56,3.7
1400000US06087121403,"Census Tract 1214.03, Santa Cruz County, California",1368,1368,1305,95.4,1305,1305,32,2.5
1400000US06087121500,"Census Tract 1215, Santa Cruz County, California",2796,2796,2332,83.4,2332,2332,258,11.1
1400000US06087121600,"Census Tract 1216, Santa Cruz County, California",3296,3296,2733,82.9,2733,2733,283,10.4
1400000US06087121700,"Census Tract 1217, Santa Cruz County, California",3210,3210,2894,90.2,2894,2894,139,4.8
1400000US06087121800,"Census Tract 1218, Santa Cruz County, California",2566,2566,2050,79.9,2050,2050,165,8
1400000US06087122001,"Census Tract 1220.01, Santa Cruz County, California",2018,2018,1834,90.9,1834,1834,31,1.7
1400000US06087122002,"Census Tract 1220.02, Santa Cruz County, California",1341,1341,1182,88.1,1182,1182,0,0
1400000US06087122003,"Census Tract 1220.03, Santa Cruz County, California",2916,2916,2801,96.1,2801,2801,133,4.7
1400000US06087122100,"Census Tract 1221, Santa Cruz County, California",1925,1925,1543,80.2,1543,1543,31,2
1400000US06087122201,"Census Tract 1222.01, Santa Cruz County, California",3355,3355,2638,78.6,2638,2638,68,2.6
1400000US06087122202,"Census Tract 1222.02, Santa Cruz County, California",973,973,909,93.4,909,909,36,4
1400000US06087122203,"Census Tract 1222.03, Santa Cruz County, California",1811,1811,1624,89.7,1624,1624,55,3.4
1400000US06087122300,"Census Tract 1223, Santa Cruz County, California",2308,2308,1485,64.3,1485,1485,21,1.4
1400000US06087122400,"Census Tract 1224, Santa Cruz County, California",2744,2744,2608,95,2608,2608,113,4.3
1400000US06087122500,"Census Tract 1225, Santa Cruz County, California",1728,1728,1702,98.5,1702,1702,37,2.2
1400000US06087123100,"Census Tract 1231, Santa Cruz County, California",834,834,829,99.4,829,829,28,3.4
1400000US06087123300,"Census Tract 1233, Santa Cruz County, California",496,496,406,81.9,406,406,8,2
1400000US06087990100,"Census Tract 9901, Santa Cruz County, California",0,0,0,-,0,0,0,-
